http://www.semanticweb.org/eNOVATION-ontology#MilitaryStandard	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.semanticweb.org/eNOVATION-ontology#MilitaryStandard
http://www.semanticweb.org/eNOVATION-ontology#MilitaryStandard	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.w3.org/2000/01/rdf-schema#Resource
http://www.semanticweb.org/eNOVATION-ontology#MilitaryStandard	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/2000/01/rdf-schema#Class
http://www.semanticweb.org/eNOVATION-ontology#MilitaryStandard	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.w3.org/2002/07/owl#Thing
http://www.w3.org/2001/XMLSchema#unsignedShort	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/2000/01/rdf-schema#Datatype
http://www.semanticweb.org/eNOVATION-ontology#isAddressedBy	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.semanticweb.org/eNOVATION-ontology#isAddressedBy	http://www.w3.org/2000/01/rdf-schema#range	http://www.w3.org/2002/07/owl#Thing
http://www.semanticweb.org/eNOVATION-ontology#isAddressedBy	http://www.w3.org/2000/01/rdf-schema#domain	http://www.w3.org/2002/07/owl#Thing
http://www.semanticweb.org/eNOVATION-ontology#isAddressedBy	http://www.w3.org/2002/07/owl#inverseOf	http://www.semanticweb.org/eNOVATION-ontology#addressesThreat
http://www.semanticweb.org/eNOVATION-ontology#includesScenario	http://www.w3.org/2000/01/rdf-schema#range	http://www.w3.org/2002/07/owl#Thing
http://www.semanticweb.org/eNOVATION-ontology#includesScenario	http://www.w3.org/2000/01/rdf-schema#domain	http://www.w3.org/2002/07/owl#Thing
http://www.semanticweb.org/eNOVATION-ontology#PoliceLawEnforcementAgencies	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.semanticweb.org/eNOVATION-ontology#PoliceLawEnforcementAgencies
http://www.semanticweb.org/eNOVATION-ontology#PoliceLawEnforcementAgencies	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.w3.org/2000/01/rdf-schema#Resource
http://www.semanticweb.org/eNOVATION-ontology#PoliceLawEnforcementAgencies	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/2000/01/rdf-schema#Class
http://www.semanticweb.org/eNOVATION-ontology#PoliceLawEnforcementAgencies	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.w3.org/2002/07/owl#Thing
http://www.semanticweb.org/eNOVATION-ontology#offersTechnologyTraining	http://www.w3.org/2000/01/rdf-schema#range	http://www.w3.org/2002/07/owl#Thing
http://www.semanticweb.org/eNOVATION-ontology#offersTechnologyTraining	http://www.w3.org/2000/01/rdf-schema#domain	http://www.w3.org/2002/07/owl#Thing
